title,authors,abstract,bib_handle,bib_note,url,jel,year,journal
Optimal mix of monetary and fiscal policies in an innovation-driven economy,"Iwaisako, Tatsuro","We construct an R&D-based growth model in which the government can reduce income taxes using seigniorage, that is, revenue from issuing new money. Using this model, we analytically derive the growth rate of the nominal money stock that maximizes welfare and show explicitly how the welfare-maximizing money growth rate depends on the parameters of the economy. In particular, the results show that stronger patent protection lowers the welfare-maximizing money growth rate. Therefore, lower inflation is preferred in countries with stronger patent protection. This theoretical result is consistent with the observed tendency for the inflation rates to be lower in developed countries, where patent protection is stronger than in developing countries.",cup:macdyn:v:30:y:2026:i::p:-_35,,https://www.cambridge.org/core/product/identifier/S1365100526101084/type/journal_article,,2026,md
Equilibrium multiplicity and uniqueness under inflation targeting,"Cunha, Alexandre B.","Macroeconomic models often have multiple equilibria. Nonetheless, a popular view on inflation targeting posits that this policy helps to coordinate agents’ expectations and actions. This paper provides a rationalization for this notion. I consider an infinitely repeated game, built on the Barro-Gordon model, in which the central bank incurs a fixed penalty whenever the actual inflation rate differs from the announced target and study how changes in the penalty impact its equilibria. I conclude that, in consonance with the aforementioned view, an inflation-targeting policy lessens the problem of equilibrium multiplicity. However, by itself, it is unlikely to achieve uniqueness.",cup:macdyn:v:30:y:2026:i::p:-_43,,https://www.cambridge.org/core/product/identifier/S1365100526101151/type/journal_article,,2026,md
The effects of key parameters of the monetary policy reaction function on economic growth,"El-Shagi, Makram & Philemon, Paul Lukuliko","We examine how a more hawkish policy stance – defined as an above-median long-run inflation semi-elasticity of the policy rate – affects economic growth in 37 inflation-targeting (IT) countries. To this end, we estimate time-varying, bias-corrected forward-looking Taylor rules for all IT countries for which the data permit such estimation. Our results point to sizable growth effects, exceeding 0.8% annually, for countries with a more hawkish policy stance. This suggests that the growth benefits reported in the previous literature on inflation targeting are primarily driven by a small subset of countries that react more forcefully to inflation.",cup:macdyn:v:30:y:2026:i::p:-_41,,https://www.cambridge.org/core/product/identifier/S1365100526101114/type/journal_article,,2026,md
Transition risks and sovereign debt costs: a premium on fossil resources?,"Fodha, Mouez & Kirat, Djamel & Zaki, Chahir","This paper examines the impact of low-carbon transition risks on sovereign borrowing costs. Using two unbalanced panel datasets covering 125 countries from 1995 to 2019, we estimate extended models of the macroeconomic determinants of short- and long-term sovereign debt costs. We include key indicators capturing exposure to transition risks, such as fossil resource abundance, the carbon intensity of GDP, and the share of renewable energy in total energy consumption. Results show that fossil resource abundance and a higher renewable energy share are associated with lower borrowing costs, whereas greater carbon intensity raises sovereign debt costs. Financial markets therefore appear to reward fossil resource endowments while penalizing carbon-intensive uses of these resources. This reveals a contradictory signal: fossil resource wealth lowers the cost of public borrowing, as it is perceived as a form of implicit collateral, while the actual use of these resources increases borrowing costs, reflecting a carbon risk premium.",cup:macdyn:v:30:y:2026:i::p:-_37,,https://www.cambridge.org/core/product/identifier/S1365100526101060/type/journal_article,,2026,md
Monetary and central bank information shocks: tales from alternative identifications,"Jang, Bosung & So, Inhwan","Jarociński and Karadi (2020) proposed a straightforward method to deconstruct monetary policy surprises into pure monetary policy shocks and central bank information shocks by exploiting the opposite-signed co-movements between stock price surprises and the two shocks. They highlighted that each shock brings about significantly different effects on the economy. Expanding upon their approach, this paper examines and compares a variety of alternative instruments, including New Keynesian- and Fama–French factor-based, for the decomposition of monetary policy surprises. Our results collectively suggest that Fama–French’s high-minus-low factor is a promising navigator, almost comparable to stock price surprises.",cup:macdyn:v:30:y:2026:i::p:-_36,,https://www.cambridge.org/core/product/identifier/S1365100526101072/type/journal_article,,2026,md
Optimal inflation target with expectations-driven liquidity traps,"Coyle, Philip & Nakata, Taisuke","In expectations-driven liquidity traps (LTs), a higher inflation target is associated with lower inflation and consumption. As a result, introducing the possibility of expectations-driven LTs to an otherwise standard model lowers the optimal inflation target. Using a calibrated New Keynesian model with an effective lower bound (ELB) constraint on nominal interest rates, we find that even a very small probability of falling into an expectations-driven LT lowers the optimal inflation target nontrivially. Our analysis provides a novel reason to be cautious about the argument that central banks should raise their inflation targets in light of a higher likelihood of hitting the ELB.",cup:macdyn:v:30:y:2026:i::p:-_44,,https://www.cambridge.org/core/product/identifier/S1365100526101175/type/journal_article,,2026,md
"Land, population, migration, and growth: a note revisiting the Solow mechanism in a panel framework","Tovar Jalles, Joao","This paper revisits the relationship between population growth and economic performance by extending the Solow framework to include land as a fixed factor in a two-sector economy and migration as an endogenous adjustment. Because only agriculture uses land, effective land intensity becomes endogenous to structural transformation, declining as economies diversify. The impact of population growth therefore depends on land scarcity but is mitigated by sectoral reallocation and migration. Using a panel of 152 countries over 1960–2023 and both fixed-effects and system- Generalized Method of Moments (GMM) estimators, we show that the effect of natural population growth on per-capita income growth is highly conditional. Population growth becomes growth-reducing in agriculture-dependent and land-scarce economies, but this effect is attenuated by lower agricultural shares and land-saving technological progress. Migration further alleviates demographic pressure by reallocating labor away from land-intensive production.",cup:macdyn:v:30:y:2026:i::p:-_38,,https://www.cambridge.org/core/product/identifier/S1365100526101096/type/journal_article,,2026,md
Quarantine policy and labor market outcomes,"Chiba, Asako & Hori, Shunsuke & Nakata, Taisuke","During the COVID-19 pandemic, many governments recommended quarantine to those who had close contact with infected individuals. We conducted a large-scale retrospective survey to study the consequences of such quarantine for labor outcomes. A sizable fraction of quarantined workers experienced reductions in hours worked and earnings, not only during quarantine but also after quarantine. Even uninfected workers experienced negative labor impacts, likely capturing the pure effects of quarantine independent of the effects of COVID-19 symptoms. Non-regular workers and workers without remote work options were more negatively affected by quarantine. We estimate that the quarantine resulted in a large reduction in the aggregate hours and that the reduction is mainly due to the scarring effects.",cup:macdyn:v:30:y:2026:i::p:-_39,,https://www.cambridge.org/core/product/identifier/S1365100526101102/type/journal_article,,2026,md
The welfare cost of an inflation shock on consumers: who loses the most?,"Cabral, Sónia & Rua, António","After a period of stable prices in advanced economies, inflation surged in 2022, largely driven by substantial increases in international food and energy prices. Using electronic payments data to estimate a demand system, we derive expenditure and price elasticities and evaluate the welfare effects of these relative price changes for Portuguese consumers. Our results indicate an average welfare loss of approximately 10% of total expenditure, disproportionately affecting lower-spending consumers. Furthermore, we observe that lower-expenditure consumers generally have larger price elasticities than their higher-spending counterparts. These results reinforce the evidence of the unequal welfare costs of inflation on consumers.",cup:macdyn:v:30:y:2026:i::p:-_42,,https://www.cambridge.org/core/product/identifier/S136510052610114X/type/journal_article,,2026,md
Fiscal Stimulus or Debt Relief: The Effect of Federal Pandemic Aid on State and Local Pensions,Grace Brang & Sewin Chan & Travis St. Clair,"Between 2020 and 2021, the US federal government passed four major pieces of legislation that included nearly $1 trillion in aid to state and local governments. One concern with distributing federal stimulus in the form of intergovernmental transfers is that subnational governments may use the aid to pay down unfunded pension liabilities or other debt rather than preserve employment. We examine the effect of fiscal stimulus passed in response to COVID-19 on public pensions. To address concerns about endogeneity, we use a difference-in-difference design and an instrumental variable estimator that relies on variation in congressional representation. We find that “excess” pension contributions increased, primarily in governments with low funding ratios, but that these increases represented less than 1 percent of total federal funding. We also find that governments reacted to pandemic aid by adopting more conservative assumptions for the calculation of pension liabilities.",ucp:nattax:doi:10.1086/737268,10.1086/737268,http://dx.doi.org/10.1086/737268,,2026,ntj
Introduction,Laura Kawano,,ucp:nattax:doi:10.1086/740866,10.1086/740866,http://dx.doi.org/10.1086/740866,,2026,ntj
Assessment Regressivity and the Homestead Exemption,Daniel McMillen & Ruchi Singh,"The statutory incidence of the property tax is not regressive across jurisdictions when regressivity is defined as having higher effective tax rates for lower-valued properties. However, a long-standing tendency toward higher assessment rates for low-priced homes commonly leads to a regressive tax structure. Using CoreLogic data, we calculate the size of the homestead exemption that would eliminate regressivity for 9,091 municipalities, of which the vast majority (92.3 percent) have at least somewhat regressive assessment practices. The median value of the required exemption is $24,639, and the interquartile range is $10,268–$47,514.",ucp:nattax:doi:10.1086/740783,10.1086/740783,http://dx.doi.org/10.1086/740783,,2026,ntj
